Tipo contenedor	Puertos	Proveedor de servicio	Naviera	Tipo Tarifa	Tipo transporte
	CUCUTA, COLOMBIA	SAVINO DEL BENE			
	DA NANG, VIETNAM	KARPA			
	DALIAN, CHINA	DSV			
	ESMERALDA, ECUADOR	AGUNSA			
	EVERGLADES, UNITED STATES	ASELOGYCA			
	EZEIZA, ARGENTINA	TIBA			
	FLORIDA, UNITED STATES	IFS			
	FOSHAN, CHINA	SHIPLLILY			
	FRANKFURT, GERMANY	ON BOARD			
	FUZHOU, CHINA	OCEANICA			
	GENOA, ITALY				
	GUANGZHOU, CHINA				
	CIUDAD DE GUATEMALA, GUATEMALA				
	GUAYAQUIL, ECUADOR				
	HAIFA, ISRAEL				
	HAMBURGO, GERMANY				
	HONG KONG, CHINA				
	HOUSTON, UNITED STATES				
	HUANGPU, CHINA				
	JIANGMEN, CHINA				
	KANSAS, UNITED STATES				
	KAOHSIUNG, TAIWAN				
	KEELUNG, CHINA				
	LA GUAIRA, VENEZUELA				
	LA SPEZIA, ITALY				
	LANCASTER, UNITED STATES				
	LANSHI, CHINA				
	LIMON, COSTA RICA				
	LIVORNO, ITALY				
	MANILA, PHILIPPINES				
	MANZANILLO, CUBA				
	MANZANILLO M, MÉXICO				
	MANZANILLO P, PANAMA				
	MARACAIBO, VENEZUELA				
	MASSILLON OH, UNITED STATES				
	MEDELLIN, COLOMBIA				
	MEXICO, PHILIPPINES				
	MIAMI, UNITED STATES				
	MIAMI ESP, UNITED STATES				
	MIAMI FL, UNITED STATES				
	MIAMI INTERPORT, UNITED STATES				
	MURCIA, SPAIN				
	NANSHA, CHINA				
	NAVEGANTES, BRAZIL				
	NEW JERSEY, UNITED STATES				
	NEW YORK, UNITED STATES				
	NHAVA SHEVA, INDIA				
	NINGBO, CHINA				
	NORFOLK VA, UNITED STATES				
	OKLAHOMA, UNITED STATES				
	PARANAGUA, BRAZIL				
	PEDRO DE ALVARADO, GUATEMALA				
	PEÑAS BLANCAS, COSTA RICA				
	QINGDAO, CHINA				
	QUETZAL, GUATEMALA				
	QUI NHON, VIETNAM				
	QUITO, ECUADOR				
	RIO GRANDE, BRAZIL				
	RONGQI, CHINA				
	ROTTERDAM, NEDERLAND				
	SAN JOSE, COSTA RICA				
	SAN PEDRO, ARGENTINA				
	SAN PEDRO DE SULA, HONDURAS				
	SAN VICENTE, CHILE				
	SANSHAN, CHINA				
	SANTA MARIA, SPAIN				
	SANTOS, BRAZIL				
	SAO PAULO, BRAZIL				
	SAVANNAH, UNITED STATES				
	SHANDON, CHINA				
	SHANGHAI, CHINA				
	SHEKOU, CHINA				
	SHENZHEN, CHINA				
	SUBIC BAY, PHILIPPINES				
	SUZHOU, CHINA				
	TAICHUNG, CHINA				
	TAIPEI, TAIWAN				
	TIANJIN, CHINA				
	TIANJINXINGANG, CHINA				
	TIFTON, UNITED STATES				
	TOWNSEND, UNITED STATES				
	VADO LIGURE, ITALY				
	VALENCIA, SPAIN				
	VALENCIA CA, VENEZUELA				
	VALPARAISO, CHILE				
	VERACRUZ, MÉXICO				
	WAIHAI, CHINA				
	XIAMEN, CHINA				
	XIAOLAN, CHINA				
	XINGANG, CHINA				
	YANTIAN, CHINA				
	ZHANGJIAGANG, CHINA				
	ZHONGSHAN, CHINA				
	LAEM CHABANG, THAILAND				
	XIOLAN, CHINA				
	DATO_ANTIGUO, COSTA RICA				
	GÉNOVA, ITALY				
	BUENOS AIRES, ARGENTINA				
	MOÍN, COSTA RICA				
	MILAN, ITALY				
	SAN SALVADOR, EL SALVADOR				
	SUAPE, BRAZIL				
	SANTO TOMAS DE CASTILLA, GUATEMALA				
	LEIPHEIM, GERMANY				
	SHANTOU, CHINA				
	PASO CANOAS, COSTA RICA				
	DESAMPARADOS, COSTA RICA				
	OLOCUILTA, EL SALVADOR				
	ANTWERP LUX, LUXEMBOURG				
	CALLAO, PERU				
	KOPER LUX, LUXEMBOURG				
	TORONTO, CANADA				
	KOPER, HUNGARY				
	BALBOA, PANAMA				
	SAVANNAH GEO, UNITED STATES				
	ZHAPU, CHINA				
	JIUJIANG,  FOSHAN, CHINA				
	GEORGIA, UNITED STATES				
	LIMA, PERU				
	HAI PHONG, VIETNAM				
	CABELLO, VENEZUELA				
	PARAGUACHON, COLOMBIA				
	LAZARO CARDENAS, MÉXICO				
	MAWEI, CHINA				
	HEREDIA, COSTA RICA				
	MIXCO, GUATEMALA				
	BEIJIAO, CHINA				
	LELIU, CHINA				
	SHUNDE, CHINA				
	HO CHI MINH, VIETNAM				
	MUNDRA, INDIA				
	ALAJUELA, COSTA RICA				
	GAOSHA, CHINA				
	ALGECIRAS, SPAIN				
	CALI, COLOMBIA				
	CD HIDALGO, MÉXICO				
	CORTÉS, HONDURAS				
	CÚCUTA, COLOMBIA				
	FOSHAN NEW PORT, CHINA				
	GAOMING FOSHAN, CHINA				
	GUADALAJARA, MÉXICO				
	GUANGDONG PROVINCE, CHINA				
	GUARERO, VENEZUELA				
	ITAJAI, BRAZIL				
	KARACHI, PAKISTAN				
	LEIXÕES, PORTUGAL				
	LOS ANGELES, UNITED STATES				
	MAFANG, CHINA				
	MANZANILLO, MÉXICO				
	MANZANILLO, PANAMA				
	MARIN, SPAIN				
	NAVEGANTES, BRASIL, BRAZIL				
	NANJING, CHINA				
	NORFOLK, UNITED STATES				
	NUEVO LEON, MÉXICO				
	PARAGUACHON, VENEZUELA				
	PORTO ALEGRE, BRAZIL				
	SAN JUAN, PUERTO RICO				
	SANSHUI, CHINA				
	SANSHUI FOSHAN, CHINA				
	SINES, PORTUGAL				
	SINGAPORE, SINGAPORE				
	STUHR, GERMANY				
	TAIPEI, CHINA				
	TAIPEI TW, TAIWAN				
	TANGSHAN, CHINA				
	VIGO, SPAIN				
	VALENCIA, VENEZUELA				
	WINFIELD, UNITED STATES				
	YUMBO, COLOMBIA				
	ARICA, CHILE				
	CARABOBO, VENEZUELA				
	CAUCEDO, DOMINICAN REPUBLIC				
	CHANGCHENG, CHINA				
	COLON, PANAMÁ				
	CUNDINAMARCA, COLOMBIA				
	DELMAS, HAITI				
	DORAL, UNITED STATES				
	DUCHCOV, CZECH REPUBLIC				
	FUJIAN, CHINA				
	FUNZA, COLOMBIA				
	GAOMING, CHINA				
	GEORGE TOWN, CAYMAN ISLANDS				
	GUANGDONG, CHINA				
	HEBEI, CHINA				
	HENAN, CHINA				
	JABEL ALI, UNITED ARAB EMIRATES				
	JAXPORT, UNITED STATES				
	JEBELI ALI, UNITED ARAB EMIRATES				
	JIANGSU, CHINA				
	MIGRACIÓN MIAMI, UNITED STATES				
	MINNESOTA, UNITED STATES				
	MOIN, COSTA RICA				
	MANIZALES, COLOMBIA				
	MANZANILLO P, PANAMÁ				
	MASSALAVES, SPAIN				
	MAWEI FUZHOU, CHINA				
	MAWEI, FUJIAN, CHINA				
	MIRAMAR, UNITED STATES				
	MONTEVIDEO, URUGUAY				
	NASSAU, BAHAMAS				
	OLOCUILTA, EL SALVADOR, EL SALVADOR				
	ORANJESTAD, ARUBA				
	PARAGUACHÓN, COLOMBIA				
	PTO. ARICA, COLOMBIA				
	PTO. CALLAO, PERU				
	PTO. CAUCEDO, DOMINICAN REPUBLIC				
	PTO. PAITA, PERU				
	PTO. SAN ANTONIO, CHILE				
	PUERTO1, UNITED ARAB EMIRATES				
	PAITA, PERU				
	PENSILVANIA, UNITED STATES				
	PICKUP, COLOMBIA				
	POSORJA, ECUADOR				
	PUERTO, UNITED STATES				
	PUERTO ARICA, PERU				
	PUERTO PLATA, DOMINICAN REPUBLIC				
	SAN ANTONIO, CHILE				
	SAN MARCOS, EL SALVADOR				
	SANRONG, CHINA				
	SANTO DOMINGO, DOMINICAN REPUBLIC				
	TAICANG, CHINA				
	TIANJIN,, CHINA				
	TIENDITAS, VENEZUELA				
	TRUJILLO ALTO, PUERTO RICO				
	WUHAN, CHINA				
	YICHANG, CHINA				
	YUNFU, CHINA				
	ZHAOQING, CHINA				
	ZHEJIANG, CHINA				
	 NINGBO , CHINA				
	EL PASO, UNITED STATES				
	NINGBO., CHINA				
